user,repo,path,url
nice-registry,dependent-packages,dependents/datapackage-query.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage-query.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
nice-registry,dependent-packages,dependents/datapackage-read.json,https://api.github.com/repositories/73249815/contents/dependents/datapackage-read.json?ref=d8f40fe4968d49a2e2c25e9ac3ef7389be95e14f
Hypercubed,chi-datapackage,test/fixtures/bare/datapackage.json,https://api.github.com/repositories/63518114/contents/test/fixtures/bare/datapackage.json?ref=2da99554250a572f1d78b72df0c89e87ec4a2520
conda-forge,feedstock-outputs,outputs/p/a/n/pandas-datapackage-reader.json,https://api.github.com/repositories/245434021/contents/outputs/p/a/n/pandas-datapackage-reader.json?ref=ee24dd226fec8fcaaa34942d1e1078099326dcbf
conda-forge,feedstock-outputs,outputs/d/a/t/datapackage.json,https://api.github.com/repositories/245434021/contents/outputs/d/a/t/datapackage.json?ref=ee24dd226fec8fcaaa34942d1e1078099326dcbf
antoine-zurcher,master-project,figma plugin/node_modules/frictionless.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/341949594/contents/figma%20plugin/node_modules/frictionless.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=4cf3bb48a001cfbb77b9d5727c98a6ba3b9bb6e1
irfanamir08,NID-Health-Hackathon-iTherapy,posenet/demos/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/165850589/contents/posenet/demos/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=602a9d3d87ea3f7cddacb7788e21b852d7b6e35b
CT-Data-Collaborative,teen-birth-rates,datapackage.json,https://api.github.com/repositories/148740556/contents/datapackage.json?ref=d8820cb29f002ddb29a2e55d7670818dd403a471
liampesser,Galerie_Photos_VanillaJS_Moderne,node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/326996217/contents/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=57099b8347fc0c8d8bf4c810140f1c8648f7f77b
ACharbonneau,tempwebsite,docs/build/html/_sources/C2M2_JSON_Schema_datapackage_specs/C2M2_JSON_Schema_datapackage_specs.md.txt,https://api.github.com/repositories/263445360/contents/docs/build/html/_sources/C2M2_JSON_Schema_datapackage_specs/C2M2_JSON_Schema_datapackage_specs.md.txt?ref=5f25371fd60205bd9d3bb8142065ceec00a3dc20
inigoflores,ds-codigos-postales,scripts/node_modules/datapackage-init/test/fixtures/dp1/datapackage.json,https://api.github.com/repositories/74678853/contents/scripts/node_modules/datapackage-init/test/fixtures/dp1/datapackage.json?ref=d3036e99d124582b1c5c69660bd8d1c6bd0b7af0
ammarsyatbi,NID-iTherapy-Health-Hackhaton-Submission,posenet/demos/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/165355795/contents/posenet/demos/node_modules/data.js/test/fixtures/dp-with-inline-readme/datapackage.json?ref=2fb654a9ae37dede1ae37b10728e743f984e529c
inigoflores,ds-revision-catastral-es,scripts/node_modules/datapackage-init/test/fixtures/dp1/datapackage.json,https://api.github.com/repositories/58265599/contents/scripts/node_modules/datapackage-init/test/fixtures/dp1/datapackage.json?ref=28fa3b40cf8c2acabe7b5cccc5b1454c6a89d7e7
davbre,mira,test/fixtures/uploads/datapackage/bad_resources_not_array/datapackage.json,https://api.github.com/repositories/40701402/contents/test/fixtures/uploads/datapackage/bad_resources_not_array/datapackage.json?ref=f9dde315b11c5d26329d200869672a5d3c9b304a
davbre,mira,test/fixtures/uploads/datapackage/bad_resources_missing/datapackage.json,https://api.github.com/repositories/40701402/contents/test/fixtures/uploads/datapackage/bad_resources_missing/datapackage.json?ref=f9dde315b11c5d26329d200869672a5d3c9b304a
davbre,mira,test/fixtures/uploads/datapackage/bad_not_json/datapackage.json,https://api.github.com/repositories/40701402/contents/test/fixtures/uploads/datapackage/bad_not_json/datapackage.json?ref=f9dde315b11c5d26329d200869672a5d3c9b304a
davbre,mira,test/fixtures/uploads/datapackage/bad_resources_empty/datapackage.json,https://api.github.com/repositories/40701402/contents/test/fixtures/uploads/datapackage/bad_resources_empty/datapackage.json?ref=f9dde315b11c5d26329d200869672a5d3c9b304a
frictionlessdata,datapackage-php,tests/fixtures/simple_invalid_datapackage.json,https://api.github.com/repositories/85916081/contents/tests/fixtures/simple_invalid_datapackage.json?ref=9ca290bfd41d3b3fcb048c489ce4c836f19959aa
datasets,core-datasets,test/fixtures/invalid-dp/datapackage.json,https://api.github.com/repositories/114107522/contents/test/fixtures/invalid-dp/datapackage.json?ref=dd79e435d2eaca29357ec5667e11814798f06e54
frictionlessdata,frictionless-js,test/fixtures/dp-with-inline-readme/datapackage.json,https://api.github.com/repositories/99835338/contents/test/fixtures/dp-with-inline-readme/datapackage.json?ref=7d28480fe91e0c58286ff6ef4ddbbc795e2fa57d
erictleung,2018-new-coder-survey,clean-data/datapackage.json,https://api.github.com/repositories/145007475/contents/clean-data/datapackage.json?ref=ebada4cea2bc65d4f3cc11591bba9e9b5e087109
